date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:26	21033/21033	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jul%202021%2018:18:26%20GMT	https://preview.colorlib.com/theme/aranoz/	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/index.html	(from )
11:18:26	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
11:18:27	1574/1574	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://preview.colorlib.com/theme/aranoz/img/xfavicon.png.pagespeed.ic.pBryiaU2YA.png	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/img/xfavicon.png.pagespeed.ic.pBryiaU2YA.png	(from https://preview.colorlib.com/theme/aranoz/)
11:18:28	99714/99714	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.dmdW2yxl94.css	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.dmdW2yxl94.css	(from https://preview.colorlib.com/theme/aranoz/)
11:18:28	204655/204655	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20May%202021%2013:20:50%20GMT	https://preview.colorlib.com/theme/aranoz/css/A.style.css.pagespeed.cf.ZaQ6zsBcp1.css	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/css/A.style.css.pagespeed.cf.ZaQ6zsBcp1.css	(from https://preview.colorlib.com/theme/aranoz/)
11:18:29	21054/21054	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jul%202021%2018:18:29%20GMT	https://preview.colorlib.com/theme/aranoz/index.html	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/index-2.html	(from https://preview.colorlib.com/theme/aranoz/)
11:18:30	650/650	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://preview.colorlib.com/theme/aranoz/img/xlogo.png.pagespeed.ic.zI2SKI010u.png	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/img/xlogo.png.pagespeed.ic.zI2SKI010u.png	(from https://preview.colorlib.com/theme/aranoz/)
11:18:30	16094/16094	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jul%202021%2018:18:30%20GMT	https://preview.colorlib.com/theme/aranoz/blog.html	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/blog.html	(from https://preview.colorlib.com/theme/aranoz/)
11:18:31	16688/16688	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jul%202021%2018:18:31%20GMT	https://preview.colorlib.com/theme/aranoz/category.html	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/category.html	(from https://preview.colorlib.com/theme/aranoz/)
11:18:31	21941/21941	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jul%202021%2018:18:31%20GMT	https://preview.colorlib.com/theme/aranoz/single-product.html	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/single-product.html	(from https://preview.colorlib.com/theme/aranoz/)
11:18:32	9794/9794	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jul%202021%2018:18:32%20GMT	https://preview.colorlib.com/theme/aranoz/login.html	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/login.html	(from https://preview.colorlib.com/theme/aranoz/)
11:18:32	9355/9355	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jul%202021%2018:18:32%20GMT	https://preview.colorlib.com/theme/aranoz/tracking.html	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/tracking.html	(from https://preview.colorlib.com/theme/aranoz/)
11:18:33	14181/14181	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jul%202021%2018:18:33%20GMT	https://preview.colorlib.com/theme/aranoz/checkout.html	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/checkout.html	(from https://preview.colorlib.com/theme/aranoz/)
11:18:33	11851/11851	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jul%202021%2018:18:33%20GMT	https://preview.colorlib.com/theme/aranoz/cart.html	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/cart.html	(from https://preview.colorlib.com/theme/aranoz/)
11:18:33	10697/10697	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jul%202021%2018:18:33%20GMT	https://preview.colorlib.com/theme/aranoz/confirmation.html	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/confirmation.html	(from https://preview.colorlib.com/theme/aranoz/)
11:18:34	31577/31577	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jul%202021%2018:18:34%20GMT	https://preview.colorlib.com/theme/aranoz/elements.html	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/elements.html	(from https://preview.colorlib.com/theme/aranoz/)
11:18:34	19223/19223	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jul%202021%2018:18:34%20GMT	https://preview.colorlib.com/theme/aranoz/single-blog.html	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/single-blog.html	(from https://preview.colorlib.com/theme/aranoz/)
11:18:35	11789/11789	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jul%202021%2018:18:35%20GMT	https://preview.colorlib.com/theme/aranoz/contact.html	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/contact.html	(from https://preview.colorlib.com/theme/aranoz/)
11:18:35	339624/339624	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Jul%202019%2022:48:36%20GMT	https://preview.colorlib.com/theme/aranoz/img/xbanner_img.png.pagespeed.ic.jACwZhtrZ3.png	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/img/xbanner_img.png.pagespeed.ic.jACwZhtrZ3.png	(from https://preview.colorlib.com/theme/aranoz/)
11:18:35	128309/128309	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Jul%202019%2022:51:22%20GMT	https://preview.colorlib.com/theme/aranoz/img/feature/xfeature_1.png.pagespeed.ic.7KpwcSnSPx.png	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/img/feature/xfeature_1.png.pagespeed.ic.7KpwcSnSPx.png	(from https://preview.colorlib.com/theme/aranoz/)
11:18:36	85968/85968	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Jul%202019%2022:51:22%20GMT	https://preview.colorlib.com/theme/aranoz/img/feature/xfeature_2.png.pagespeed.ic.MtwJ8IRpvL.png	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/img/feature/xfeature_2.png.pagespeed.ic.MtwJ8IRpvL.png	(from https://preview.colorlib.com/theme/aranoz/)
11:18:36	113410/113410	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Jul%202019%2022:51:23%20GMT	https://preview.colorlib.com/theme/aranoz/img/feature/xfeature_3.png.pagespeed.ic.V0w2I06NUD.png	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/img/feature/xfeature_3.png.pagespeed.ic.V0w2I06NUD.png	(from https://preview.colorlib.com/theme/aranoz/)
11:18:36	111650/111650	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Jul%202019%2022:51:23%20GMT	https://preview.colorlib.com/theme/aranoz/img/feature/xfeature_4.png.pagespeed.ic.8h6o7ZduQk.png	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/img/feature/xfeature_4.png.pagespeed.ic.8h6o7ZduQk.png	(from https://preview.colorlib.com/theme/aranoz/)
11:18:37	50214/50214	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Jul%202019%2022:52:02%20GMT	https://preview.colorlib.com/theme/aranoz/img/product/xproduct_1.png.pagespeed.ic.zcUuYW5UEY.png	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/img/product/xproduct_1.png.pagespeed.ic.zcUuYW5UEY.png	(from https://preview.colorlib.com/theme/aranoz/)
11:18:37	42649/42649	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Jul%202019%2022:52:03%20GMT	https://preview.colorlib.com/theme/aranoz/img/product/xproduct_2.png.pagespeed.ic.o70ZeeStwq.png	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/img/product/xproduct_2.png.pagespeed.ic.o70ZeeStwq.png	(from https://preview.colorlib.com/theme/aranoz/)
11:18:37	30197/30197	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Jul%202019%2022:52:04%20GMT	https://preview.colorlib.com/theme/aranoz/img/product/xproduct_3.png.pagespeed.ic.c35V289i18.png	C:/My%20Web%20Sites/ECOMERCE/preview.colorlib.com/theme/aranoz/img/product/xproduct_3.png.pagespeed.ic.c35V289i18.png	(from https://preview.colorlib.com/theme/aranoz/)
